Variant	epsilon	time
COLLECT	20	0.50143146988992
EACH	20	0.537369954672995
HASH_3	20	0.484718325059356
HASH_4	20	0.48625318368228
HASH_5	20	0.48364990287071
HASH_6	20	0.484580185624863
HASH_7	20	0.487599827325707
HASH_8	20	0.48242175696093
