Variant	epsilon	time
COLLECT	10	0.25730412259874807
EACH	10	0.27867256637168136
HASH_3	10	0.2579516511979279
HASH_4	10	0.2569803582991582
HASH_5	10	0.2588150226635009
HASH_6	10	0.2574120440319447
HASH_7	10	0.257627886898338
HASH_8	10	0.2591387869630908
COLLECT	12	0.58745952946255
EACH	12	0.6802978631556227
HASH_3	12	0.5893934815454349
HASH_4	12	0.5806885387437945
HASH_5	12	0.5826311245413339
HASH_6	12	0.5810123030433844
HASH_7	12	0.5892855601122383
HASH_8	12	0.5819835959421541
COLLECT	14	0.61255115
EACH	14	0.7206885387437944
HASH_3	14	0.61543494
HASH_4	14	0.618853874379452
HASH_5	14	0.6131124541333911
HASH_6	14	0.6230304338442
HASH_7	14	0.61011223827
HASH_8	14	0.6135959421541
COLLECT	16	1.26743146988992
EACH	16	1.3942369954672995
HASH_3	16	1.1884718325059356
HASH_4	16	1.191925318368228
HASH_5	16	1.183364990287071
HASH_6	16	1.1964580185624863
HASH_7	16	1.1937599827325707
HASH_8	16	1.196242175696093
COLLECT	18	3.408899201412586
EACH	18	3.509973522365255
HASH_3	18	3.348791254781253
HASH_4	18	3.343572587369875
HASH_5	18	3.341459821689745
HASH_6	18	3.335991756895425
HASH_7	18	3.345256987458236
HASH_8	18	3.365935725874698
COLLECT	20	5.835387437945176
EACH	20	5.9769803582991575
HASH_3	20	5.716781782862076
HASH_4	20	5.7128966112669975
HASH_5	20	5.702859917979711
HASH_6	20	5.700053960716598
HASH_7	20	5.719156054392402
HASH_8	20	5.716565939995683
