epsilon	Stage	time
10	Candidates	0.15638085266666668
10	Centers	0.007916864666666667
10	Maximals	0.26802461600000005
10	Pairs	0.01235763099999997
10	Total	0.5045912163333334
12	Candidates	0.2078990226666667
12	Centers	0.019886481666666667
12	Maximals	0.5249539246666666
12	Pairs	0.014894744333333307
12	Total	0.8453833559999999
14	Candidates	0.2241350743333334
14	Centers	0.008379705666666667
14	Maximals	0.5937320489999999
14	Pairs	0.015054403000000093
14	Total	0.9095117683333332
16	Candidates	0.265921259
16	Centers	0.007641495333333334
16	Maximals	1.2085818693333334
16	Pairs	0.015307799333333266
16	Total	1.570549684
18	Candidates	0.3753141046666665
18	Centers	0.007827680333333333
18	Maximals	3.4378351679999994
18	Pairs	0.02229115633333402
18	Total	3.9253841813333334
20	Candidates	0.38748703166666637
20	Centers	0.007865473666666666
20	Maximals	5.783805760333334
20	Pairs	0.02101132333333338
20	Total	6.280238231666667
