dataset	method	epsilon	time
part166	BFE	10	0.5014572766666666
part166	BFE	12	0.574448607
part166	BFE	14	0.7871237696666665
part166	BFE	16	0.898697775
part166	BFE	18	0.9859341553333333
part166	BFE	20	1.2130126866666666
part166	PSI	10	0.260668431
part166	PSI	12	0.28811328099999994
part166	PSI	14	0.380066631
part166	PSI	16	0.4494360313333334
part166	PSI	18	0.5201102150000001
part166	PSI	20	0.5138118083333334
part173	BFE	10	0.4421462913333333
part173	BFE	12	0.507182315
part173	BFE	14	0.605923161
part173	BFE	16	0.6734490863333333
part173	BFE	18	0.7995541376666666
part173	BFE	20	0.785498011
part173	PSI	10	0.21206526533333336
part173	PSI	12	0.24579207233333328
part173	PSI	14	0.28678318266666664
part173	PSI	16	0.3320387866666667
part173	PSI	18	0.33451515666666665
part173	PSI	20	0.3579327199999997
part174	BFE	10	0.35827147099999995
part174	BFE	12	0.4492562006666667
part174	BFE	14	0.5241570786666667
part174	BFE	16	0.5981621556666668
part174	BFE	18	0.7200931736666666
part174	BFE	20	0.703289631
part174	PSI	10	0.17006200299999996
part174	PSI	12	0.16350187666666663
part174	PSI	14	0.1953192876666667
part174	PSI	16	0.23740255333333335
part174	PSI	18	0.27558268166666666
part174	PSI	20	0.302852627
part178	BFE	10	0.33762782433333327
part178	BFE	12	0.4266194036666667
part178	BFE	14	0.46699951599999995
part178	BFE	16	0.6018366003333333
part178	BFE	18	0.7041867933333333
part178	BFE	20	0.7658272983333333
part178	PSI	10	0.16204256266666664
part178	PSI	12	0.1871050366666667
part178	PSI	14	0.19439543266666665
part178	PSI	16	0.24768843733333332
part178	PSI	18	0.30987298333333346
part178	PSI	20	0.27568474333333326
part179	BFE	10	0.44003483433333335
part179	BFE	12	0.5649149596666666
part179	BFE	14	0.7867615436666667
part179	BFE	16	1.2322067023333334
part179	BFE	18	1.4860303929999998
part179	BFE	20	1.9030974086666665
part179	PSI	10	0.19129181033333334
part179	PSI	12	0.254840773
part179	PSI	14	0.30570071866666676
part179	PSI	16	0.41797979900000015
part179	PSI	18	0.45119751266666686
part179	PSI	20	0.5248913160000003
part182	BFE	10	0.4460531326666667
part182	BFE	12	0.5274865036666667
part182	BFE	14	0.6118716556666668
part182	BFE	16	0.6841915663333333
part182	BFE	18	0.9487232906666667
part182	BFE	20	1.2840686343333334
part182	PSI	10	0.24977575899999996
part182	PSI	12	0.22571262400000003
part182	PSI	14	0.26260030333333334
part182	PSI	16	0.3341082533333334
part182	PSI	18	0.38151653966666677
part182	PSI	20	0.44141650433333296
part184	BFE	10	0.676147208
part184	BFE	12	0.8452247443333333
part184	BFE	14	0.9954158830000002
part184	BFE	16	1.6078369753333335
part184	BFE	18	2.4777221726666663
part184	BFE	20	2.610408893333333
part184	PSI	10	0.2945264566666667
part184	PSI	12	0.36531130833333336
part184	PSI	14	0.45189391900000003
part184	PSI	16	0.6231666393333332
part184	PSI	18	0.6424262436666667
part184	PSI	20	0.6875280330000005
part187	BFE	10	0.5045912163333334
part187	BFE	12	0.8453833559999999
part187	BFE	14	0.9095117683333332
part187	BFE	16	1.570549684
part187	BFE	18	3.9253841813333334
part187	BFE	20	6.280238231666667
part187	PSI	10	0.2007810216666667
part187	PSI	12	0.28964129866666677
part187	PSI	14	0.31474943466666677
part187	PSI	16	0.42317555766666665
part187	PSI	18	0.5968247119999995
part187	PSI	20	0.7530956056666663
part188	BFE	10	0.3428513226666667
part188	BFE	12	0.431520145
part188	BFE	14	0.48662815600000003
part188	BFE	16	0.5369072883333333
part188	BFE	18	0.6718411360000001
part188	BFE	20	0.844607545
part188	PSI	10	0.14455899599999997
part188	PSI	12	0.17717540766666662
part188	PSI	14	0.192416533
part188	PSI	16	0.2250938356666667
part188	PSI	18	0.2820884473333334
part188	PSI	20	0.30232862899999996
part191	BFE	10	0.3165683223333333
part191	BFE	12	0.3811835576666667
part191	BFE	14	0.581303669
part191	BFE	16	0.716084032
part191	BFE	18	0.6241832316666667
part191	BFE	20	0.7089876196666667
part191	PSI	10	0.12258957133333334
part191	PSI	12	0.14299672533333332
part191	PSI	14	0.1767532426666667
part191	PSI	16	0.1840526826666667
part191	PSI	18	0.2098408656666668
part191	PSI	20	0.21967290866666658
