partitions	stage	size	time
16K	layer1	gadm	202.963
16K	layer2	gadm	375.2442
16K	overlay	gadm	1138.338
18K	layer1	gadm	134.5234
18K	layer2	gadm	335.0284
18K	overlay	gadm	758.4792
20K	layer1	gadm	121.5358
20K	layer2	gadm	172.6866
20K	overlay	gadm	521.2924
22K	layer1	gadm	124.383
22K	layer2	gadm	149.5308
22K	overlay	gadm	455.6644
24K	layer1	gadm	145.268
24K	layer2	gadm	182.1614
24K	overlay	gadm	436.2916
26K	layer1	gadm	181.8886
26K	layer2	gadm	238.465
26K	overlay	gadm	441.991
28K	layer1	gadm	217.6376
28K	layer2	gadm	281.407
28K	overlay	gadm	414.7164
30K	layer1	gadm	266.0836
30K	layer2	gadm	362.08
30K	overlay	gadm	438.192
32K	layer1	gadm	315.977
32K	layer2	gadm	430.50600000000003
32K	overlay	gadm	431.9878
34K	layer1	gadm	399.7086
34K	layer2	gadm	554.171
34K	overlay	gadm	483.067
