partitions	time	tree
5	124.325075699	Kdtree
5	164.7218830354	Quadtree
6	113.3022047258	Kdtree
6	186.0992144614	Quadtree
7	122.0234594852	Kdtree
7	216.4151187214	Quadtree
8	129.8156538184	Kdtree
8	227.6924004706	Quadtree
9	136.1518274226	Kdtree
9	231.2022503712	Quadtree
10	136.944169539	Kdtree
10	254.58128534325	Quadtree
11	153.838109943	Kdtree
11	264.2011292746	Quadtree
12	160.24160207	Kdtree
12	278.3958608638	Quadtree
13	167.0464752704	Kdtree
13	296.1627609624	Quadtree
14	190.9908086172	Kdtree
14	312.329380484	Quadtree
15	194.8845513396	Kdtree
15	351.1306639655	Quadtree
16	219.680795965	Kdtree
16	346.2215032035	Quadtree
17	214.32483893399998	Kdtree
17	372.69484072375	Quadtree
18	224.4239380954	Kdtree
18	397.68484802433335	Quadtree
19	226.017531546	Kdtree
19	430.7160632633333	Quadtree
20	244.5770057492	Kdtree
20	465.79166207000003	Quadtree
21	240.51546340000002	Kdtree
21	496.150975642	Quadtree
