partitions	time	tree
1	40.213235323199996	Kdtree
1	41.055593660599996	Quadtree
2	43.3707080402	Kdtree
2	49.962647856800004	Quadtree
3	54.5172556116	Kdtree
3	67.3566802548	Quadtree
4	54.336806857599996	Kdtree
4	89.38568782120001	Quadtree
5	57.2976609068	Kdtree
5	103.0655205842	Quadtree
6	58.2062122914	Kdtree
6	115.4566844612	Quadtree
7	64.8098891352	Kdtree
7	118.7409617462	Quadtree
8	78.5223910636	Kdtree
8	127.56418682500001	Quadtree
9	79.674280584	Kdtree
9	138.3639329324	Quadtree
10	82.244430946	Kdtree
10	150.820348324	Quadtree
11	94.9663062214	Kdtree
11	176.577248287	Quadtree
12	102.309363983	Kdtree
12	186.329662192	Quadtree
13	108.8609127224	Kdtree
13	203.9775079978	Quadtree
14	118.7748570336	Kdtree
14	224.4348219388	Quadtree
15	126.2284495822	Kdtree
15	249.0456113362	Quadtree
