size	stage	time
8M	layer1	47.453199999999995
8M	layer2	45.321
8M	overlay	129.3858
16M	layer1	56.529199999999996
16M	layer2	54.3078
16M	overlay	139.0648
24M	layer1	46.833
24M	layer2	43.9854
24M	overlay	129.0298
32M	layer1	39.1158
32M	layer2	37.109
32M	overlay	113.8828
