nodes	stage	time
12	layer1	39.0368
12	layer2	36.8576
12	overlay	115.4772
3	layer1	140.27439999999999
3	layer2	141.3136
3	overlay	391.1834
6	layer1	70.01259999999999
6	layer2	68.13
6	overlay	200.9626
9	layer1	46.598
9	layer2	46.0068
9	overlay	139.5634
