dataset	method	epsilon	time	pairs
cell101	BFE	12	0.024890141333333334	0
cell101	BFE	14	0.025088727	0
cell101	BFE	16	0.025242627333333333	0
cell101	BFE	18	0.025444234333333333	0
cell101	BFE	20	0.024503082333333332	0
cell101	PSI	10	0.006378829666666666	0
cell101	PSI	12	0.006255239333333333	0
cell101	PSI	14	0.006152937000000001	0
cell101	PSI	16	0.006103586	0
cell101	PSI	18	0.006244397333333333	0
cell101	PSI	20	0.006260404333333333	0
cell102	BFE	10	0.055612639666666665	6
cell102	BFE	12	0.056274465333333336	6
cell102	BFE	14	0.05807914966666666	10
cell102	BFE	16	0.06670516033333335	25
cell102	BFE	18	0.07707869866666667	31
cell102	BFE	20	0.087027465	39
cell102	PSI	10	0.02906720933333333	6
cell102	PSI	12	0.023123975666666664	6
cell102	PSI	14	0.030100923666666664	10
cell102	PSI	16	0.032357402333333334	25
cell102	PSI	18	0.03320378533333333	31
cell102	PSI	20	0.036824826	39
cell103	BFE	10	0.023389302333333334	0
cell103	BFE	12	0.023107382	0
cell103	BFE	14	0.022968155666666667	0
cell103	BFE	16	0.023252914	0
cell103	BFE	18	0.023299019333333334	0
cell103	BFE	20	0.023218303666666665	0
cell103	PSI	10	0.004794697	0
cell103	PSI	12	0.004792456333333334	0
cell103	PSI	14	0.004882324	0
cell103	PSI	16	0.005216184666666667	0
cell103	PSI	18	0.005289154333333333	0
cell103	PSI	20	0.005193774333333334	0
cell104	BFE	10	0.019144004666666666	0
cell104	BFE	12	0.01953290066666667	0
cell104	BFE	14	0.021691545666666666	0
cell104	BFE	16	0.019469444	0
cell104	BFE	18	0.019323910666666666	0
cell104	BFE	20	0.018446222666666668	0
cell104	PSI	10	0.002918173333333333	0
cell104	PSI	12	0.0030311463333333333	0
cell104	PSI	14	0.003081449	0
cell104	PSI	16	0.002976531	0
cell104	PSI	18	0.0030634766666666666	0
cell104	PSI	20	0.002998603	0
cell105	BFE	10	0.054940560666666666	9
cell105	BFE	12	0.058444822333333334	12
cell105	BFE	14	0.06455709233333333	20
cell105	BFE	16	0.058254701666666665	23
cell105	BFE	18	0.07401778033333334	24
cell105	BFE	20	0.071378419	26
cell105	PSI	10	0.01712985033333333	9
cell105	PSI	12	0.01911786	12
cell105	PSI	14	0.022162453000000002	20
cell105	PSI	16	0.03001306533333333	23
cell105	PSI	18	0.025234154	24
cell105	PSI	20	0.027833118666666667	26
cell106	BFE	10	0.052805906666666666	9
cell106	BFE	12	0.054359558	14
cell106	BFE	14	0.070009021	16
cell106	BFE	16	0.06832218566666666	16
cell106	BFE	18	0.06956166600000001	16
cell106	BFE	20	0.06646227033333334	16
cell106	PSI	10	0.016997213	9
cell106	PSI	12	0.020623652	14
cell106	PSI	14	0.021623783	16
cell106	PSI	16	0.022653522333333332	16
cell106	PSI	18	0.02327502633333333	16
cell106	PSI	20	0.023693215666666666	16
cell107	BFE	10	0.17678706866666669	245
cell107	BFE	12	0.19343758533333336	294
cell107	BFE	14	0.19710272499999998	337
cell107	BFE	16	0.21884458433333334	392
cell107	BFE	18	0.232625364	433
cell107	BFE	20	0.24415668299999996	473
cell107	PSI	10	0.082703962	245
cell107	PSI	12	0.08219792100000001	294
cell107	PSI	14	0.088521177	337
cell107	PSI	16	0.09978935733333331	392
cell107	PSI	18	0.10671195266666667	433
cell107	PSI	20	0.10570348133333334	473
cell108	BFE	10	0.095777403	48
cell108	BFE	12	0.10559050566666667	67
cell108	BFE	14	0.111706802	78
cell108	BFE	16	0.12317734533333335	103
cell108	BFE	18	0.13266508966666668	129
cell108	BFE	20	0.13903338766666665	151
cell108	PSI	10	0.045323105999999995	48
cell108	PSI	12	0.05397286233333334	67
cell108	PSI	14	0.052747486333333336	78
cell108	PSI	16	0.06153053366666667	103
cell108	PSI	18	0.06244971366666667	129
cell108	PSI	20	0.067395861	151
cell109	BFE	10	0.027206677	0
cell109	BFE	12	0.037178374666666666	0
cell109	BFE	14	0.027736726666666666	0
cell109	BFE	16	0.029775349333333333	0
cell109	BFE	18	0.028353464000000002	0
