nodes	stage	time
12	layer1	180.2712
12	layer2	221.5908
12	overlay	410.6398
3	layer1	675.8588
3	layer2	880.5
3	overlay	1479.0698
6	layer1	318.408
6	layer2	483.9428
6	overlay	793.5308
9	layer1	223.8132
9	layer2	264.248
9	overlay	507.61740000000003
