epsilon	Stage	time
10	Candidates	0.05196708133333336
10	Centers	0.013072090666666671
10	Maximals	0.10803349766666666
10	Pairs	0.0014502986666666674
10	Total	0.2007810216666667
12	Candidates	0.08804276133333344
12	Centers	0.018984513333333335
12	Maximals	0.155250307
12	Pairs	0.0016250560000000004
12	Total	0.28964129866666677
14	Candidates	0.08104809366666675
14	Centers	0.016844544000000024
14	Maximals	0.18927877633333334
14	Pairs	0.0016082903333333334
14	Total	0.31474943466666677
16	Candidates	0.10216496366666664
16	Centers	0.017888622999999992
16	Maximals	0.27281859933333336
16	Pairs	0.001779283666666666
16	Total	0.42317555766666665
18	Candidates	0.14069863933333288
18	Centers	0.021282356000000037
18	Maximals	0.40497064266666666
18	Pairs	0.001990832333333333
18	Total	0.5968247119999995
20	Candidates	0.18955895966666625
20	Centers	0.023453362666666686
20	Maximals	0.5116554473333333
20	Pairs	0.0022011606666666665
20	Total	0.7530956056666663
