method	epsilon	time
BFE	10	0.39124435613999986
BFE	12	0.5668732950199999
BFE	14	1.3680608221
BFE	16	3.45045314872
BFE	18	5.0309703608199996
BFE	20	6.32050963336
PSI	10	0.63057753556
PSI	12	0.92160568016
PSI	14	1.6921339016199997
PSI	16	3.0772496654000005
PSI	18	3.61206915278
PSI	20	4.61953112658
