epsilon	capacity	partitions	time
2	10	13333	11.165187214733333
2	20	6724	5.2070737268
2	50	2740	3.060700214066667
2	100	1369	2.1125461829333334
2	250	487	1.5586383320000001
2	500	247	1.4605994226666668
2	750	172	1.6136592798
5	10	13384	11.069240062666667
5	20	6727	5.357571015266666
5	50	2746	3.133463958866667
5	100	1369	2.216584027066667
5	250	487	1.5893878509333332
5	500	247	1.5488829066
5	750	172	1.6867463920666668
10	10	13372	11.402874451933334
10	20	6736	5.402491936133333
10	50	2755	3.1665279624
10	100	1363	2.3179438469333333
10	250	487	1.9644033506
10	500	247	1.9657080768666666
10	750	175	2.0804151654666665
15	10	13363	12.101279387133333
15	20	6769	5.7881075328
15	50	2758	3.7133558641333333
15	100	1363	3.279402299
15	250	490	2.9034726950666667
15	500	247	3.1749106371333333
15	750	175	3.2679768586
20	10	13396	16.445562602533332
20	20	6706	10.335549675
20	50	2734	7.2553533304
20	100	1369	6.260611978333333
20	250	490	7.130527524933333
20	500	247	9.8023210054
20	750	175	9.872614133533334
